nombre_negocio,rating,reseñas,categorias,precio,direccion,telefono,url_yelp
Cariño,5.0,24,"Latin American, Tacos",No especificado,"4662 N Broadway, Chicago, IL 60640",13127226838.0,https://www.yelp.com/biz/cari%C3%B1o-chicago-3?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Lao Der,5.0,34,Laotian,No especificado,"3922 N Elston Ave, Chicago, IL 60618",18722414879.0,https://www.yelp.com/biz/lao-der-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
To Korean Cuisine,4.9,12,Korean,No especificado,"3108 N Broadway, Chicago, IL 60657",17733608036.0,https://www.yelp.com/biz/to-korean-cuisine-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
3 Asian Sisters,4.9,22,Vietnamese,No especificado,"818 West Fullerton Ave, Chicago, IL 60614",13129550011.0,https://www.yelp.com/biz/3-asian-sisters-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Omakase Shoji,4.9,39,"Japanese, Bars",No especificado,"1641 W Chicago Ave, Chicago, IL 60622",,https://www.yelp.com/biz/omakase-shoji-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Pilot Project Brewing,4.8,6,"Breweries, Cocktail Bars, Asian Fusion",No especificado,"3473 N Clark St, Chicago, IL 60657",17737703779.0,https://www.yelp.com/biz/pilot-project-brewing-chicago-7?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Matilda,4.8,24,"Mexican, Peruvian, Cocktail Bars",No especificado,"535 N Wells St, Chicago, IL 60654",,https://www.yelp.com/biz/matilda-chicago-3?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Mahanakhon Noodle Bar,4.8,33,"Thai, Noodles",No especificado,"2907 N Lincoln Ave, Chicago, IL 60657",17739753333.0,https://www.yelp.com/biz/mahanakhon-noodle-bar-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Void,4.8,40,"Italian, Seafood, Cocktail Bars",No especificado,"2937 N Milwaukee Ave, Chicago, IL 60618",,https://www.yelp.com/biz/void-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Charlie Martin's,4.8,46,Supper Clubs,No especificado,"736 N Clark St, Chicago, IL 60654",13129293174.0,https://www.yelp.com/biz/charlie-martins-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Taste of Japan,4.7,20,"Sushi Bars, Japanese Curry, Ramen",No especificado,"201 N Wells St, Chicago, IL 60606",13125889818.0,https://www.yelp.com/biz/taste-of-japan-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Doner 97,4.7,36,"German, Turkish, Salad",No especificado,"2435 N Clark St, Chicago, IL 60614",17736986324.0,https://www.yelp.com/biz/doner-97-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Bar Sotto,4.6,17,"Beer Bar, Italian, Cocktail Bars",No especificado,"71 W Monroe St, Lower Level, Chicago, IL 60603",13123327475.0,https://www.yelp.com/biz/bar-sotto-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Cumin - Lakeview,4.6,33,"Indian, Himalayan/Nepalese",No especificado,"1039 W Belmont Ave, Chicago, IL 60657",17736879024.0,https://www.yelp.com/biz/cumin-lakeview-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Way Out,4.6,36,"Chicken Wings, Cocktail Bars",No especificado,"3213 W Armitage Ave, Chicago, IL 60617",17737998750.0,https://www.yelp.com/biz/way-out-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Desert Hawk,4.6,41,"American, Bars",No especificado,"2049 W Division St, Chicago, IL 60622",,https://www.yelp.com/biz/desert-hawk-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
