id_yelp,nombre_negocio,alias,rating,reseñas,precio,categorias,direccion,ciudad,estado,codigo_postal,pais,telefono,telefono_display,esta_cerrado,url_yelp,image_url,distancia
qjnpkS8yZO8xcyEIy5OU9A,Girl & The Goat,girl-and-the-goat-chicago,4.4,10510,$$$,"New American, Bars, Bakeries","809 W Randolph, Chicago, IL 60607",Chicago,IL,60607,US,+13124926262,(312) 492-6262,False,https://www.yelp.com/biz/girl-and-the-goat-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,https://s3-media0.fl.yelpcdn.com/bphoto/ya6gjD4BPlxe7AKMj_5WsA/o.jpg,3401.2386759023707
boE4Ahsssqic7o5wQLI04w,The Purple Pig,the-purple-pig-chicago,4.3,8856,$$$,"Tapas/Small Plates, Mediterranean, New American","444 N Michigan Ave, Chicago, IL 60611",Chicago,IL,60611,US,+13124641744,(312) 464-1744,False,https://www.yelp.com/biz/the-purple-pig-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,https://s3-media0.fl.yelpcdn.com/bphoto/rHHvhRF8QPjee5B7c54jzw/o.jpg,4672.658118380336
gzhkdb6YoiFm5s3vriG1AA,Gretel,gretel-chicago,4.5,415,$$,"Cocktail Bars, New American, Speakeasies","2833 W Armitage Ave, Chicago, IL 60647",Chicago,IL,60647,US,+17737703427,(773) 770-3427,False,https://www.yelp.com/biz/gretel-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,https://s3-media0.fl.yelpcdn.com/bphoto/-dxigk6aymnMlFvQ4xrQmg/o.jpg,2181.370354175089
riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,cindys-rooftop-chicago,4.1,2717,$$,"New American, Seafood, Breakfast & Brunch","12 S Michigan Ave, Chicago, IL 60603",Chicago,IL,60603,US,+13127923502,(312) 792-3502,False,https://www.yelp.com/biz/cindys-rooftop-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,https://s3-media0.fl.yelpcdn.com/bphoto/XLdHyZLsRMogjR4GNWCe-A/o.jpg,5091.190048420359
cgIuo3geaxw1Sfhbqm5qTA,Alla Vita,alla-vita-chicago-4,4.4,741,$$$,Italian,"564 W Randolph St, Chicago, IL 60661",Chicago,IL,60661,US,+13126670104,(312) 667-0104,False,https://www.yelp.com/biz/alla-vita-chicago-4?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,https://s3-media0.fl.yelpcdn.com/bphoto/X4XMxKMr4FfFdplvdP1BjA/o.jpg,3714.5750911319506
VPJk-SEWSWS_nGoQvM-COw,Penumbra,penumbra-chicago,4.8,996,$$$,"Wine Bars, Seafood, Steakhouses","3309 W Fullerton Ave, Chicago, IL 60647",Chicago,IL,60647,US,+17737722343,(773) 772-2343,False,https://www.yelp.com/biz/penumbra-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,https://s3-media0.fl.yelpcdn.com/bphoto/IlSPQKhzbs2s0g7Cxshlmg/o.jpg,3480.7928840306017
GZsrGq6H8CQ4YlGtE_Bm0Q,Ciccio Mio,ciccio-mio-chicago-2,4.7,577,$$$,Italian,"226 W Kinzie, Chicago, IL 60654",Chicago,IL,60654,US,+13127963316,(312) 796-3316,False,https://www.yelp.com/biz/ciccio-mio-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,https://s3-media0.fl.yelpcdn.com/bphoto/eFIrEMfnmALCGrR1gSJKLQ/o.jpg,3939.137303772896
PZe0q_153VHUnaR-8dOTJg,The Dearborn,the-dearborn-chicago-2,4.4,2603,$$,"New American, Breakfast & Brunch, Beer, Wine & Spirits","145 N Dearborn St, Chicago, IL 60602",Chicago,IL,60602,US,+13123841242,(312) 384-1242,False,https://www.yelp.com/biz/the-dearborn-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,https://s3-media0.fl.yelpcdn.com/bphoto/eSXeGiq2bRUjy7KOER4jeg/o.jpg,4637.0435326330025
9nUrDQ_REhU6sgcgXFAyfA,Aba,aba-chicago-2,4.4,1858,$$$,"Mediterranean, Tapas/Small Plates","302 N Green St, Fl 3, Chicago, IL 60607",Chicago,IL,60607,US,+17736451400,(773) 645-1400,False,https://www.yelp.com/biz/aba-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,https://s3-media0.fl.yelpcdn.com/bphoto/CeQacWWhLEiFBYw2piRozA/o.jpg,3120.1445058575764
ZXsqdTNHSqxBxCXcbmOiLA,Bigsuda,bigsuda-chicago,4.5,44,No especificado,"Asian Fusion, Korean, Noodles","1362 N Milwaukee Ave, Chicago, IL 60622",Chicago,IL,60622,US,+18722068678,(872) 206-8678,False,https://www.yelp.com/biz/bigsuda-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,https://s3-media0.fl.yelpcdn.com/bphoto/Yb2j5vOw3H-Mu_0dfAtiQA/o.jpg,513.3737560038392
